Fuel Consumption City,Fuel Consumption Hwy,Fuel Consumption Comb
18.20 L/100 km,10.00 liters per 100 km,19.47 mpg Imp.
9.00 liters per 100 km,7.80 L/100 km,27.80 MPG (AS)
24.35 mpg Imp.,12.50 km per L,zero
12.10 L/100km,0.95 L/10km,9.15 km per L
10.30 liters per 100 km,6.60 L/100 km,0.86 L/10km
9.50 L/100km,6.50 L/100 km,0.82 L/10km
13.20 liters per 100 km,10.40 liters per 100 km,
10.20 liters per 100 km,9.71 km/L,10.24 L/100km
9.52 km per L,14.08 km/L,8.97 L/100km
26.90 mpg Imp.,12.35 km per L,0.94 L/10km
16.81 mpg Imp.,25.68 mpg Imp.,16.58 MPG (AS)
16.20 L/100km,11.50 liters per 100 km,14.09 L/100 km
1.77 L/10km,27.16 mpg Imp.,6.94 km/L
17.82 MPG (AS),34.87 mpg Imp.,21.57 MPG (AS)
8.70 km/L,13.70 km/L,10.41 km per L
7.30 km per L,23.76 MPG (AS),11.99 liters per 100 km
15.87 mpg Imp.,,14.11 L/100 km
20.45 MPG (AS),0.87 L/10km,10.24 L/100 km
1.09 L/10km,13.70 km per L,25.35 MPG (AS)
10.20 km per L,7.90 L/100km,0.89 L/10km
10.99 km/L,36.69 mpg Imp.,0.85 L/10km
9.43 km per L,8.90 liters per 100 km,
1.10 L/10km,35.64 MPG (AS),11.09 km per L
20.77 mpg Imp.,7.20 liters per 100 km,
49.56 mpg Imp.,6.60 liters per 100 km,38.53 MPG (AS)
23.06 MPG (AS),5.70 L/100 km,28.77 MPG (AS)
7.58 km per L,8.55 km/L,12.53 L/100km
0.86 L/10km,0.84 L/10km,0.85 L/10km
15.50 L/100 km,26.43 MPG (AS),7.98 km per L
12.60 L/100 km,12.20 km per L,
not-available,9.62 km per L,14.41 L/100km
7.63 km/L,11.90 km per L,9.10 km per L
5.56 km per L,10.20 L/100km,14.49 L/100km
,34.03 mpg Imp.,
18.38 MPG (AS),35.11 MPG (AS),9.95 km per L
20.92 mpg Imp.,10.64 km per L,1.17 L/10km
0.48 L/10km,15.38 km per L,42.27 MPG (AS)
11.11 km per L,11.90 km/L,8.73 L/100km
1.01 L/10km,13.89 km/L,not-available
18.60 liters per 100 km,23.94 mpg Imp.,18.18 mpg Imp.
7.46 km per L,not-available,1.22 L/10km
18.82 MPG (AS),12.05 km per L,10.61 liters per 100 km
19.35 mpg Imp.,0.88 L/10km,8.34 km per L
11.76 km per L,5.90 L/100 km,7.33 L/100 km
11.00 liters per 100 km,9.90 L/100 km,10.51 L/100 km
5.56 km per L,0.85 L/10km,1.37 L/10km
1.29 L/10km,8.40 L/100km,10.88 liters per 100 km
17.70 L/100km,25.22 mpg Imp.,19.12 mpg Imp.
11.31 MPG (AS),0.99 L/10km,
14.89 MPG (AS),44.84 mpg Imp.,11.53 L/100km
20.92 mpg Imp.,29.43 mpg Imp.,11.74 liters per 100 km
0.99 L/10km,32.47 mpg Imp.,
8.90 L/100km,14.08 km/L,12.36 km per L
11.40 liters per 100 km,0.91 L/10km,10.37 L/100km
11.00 L/100 km,8.00 liters per 100 km,24.37 MPG (AS)
9.50 L/100km,36.69 mpg Imp.,0.87 L/10km
20.10 MPG (AS),13.33 km/L,9.81 L/100 km
9.40 liters per 100 km,8.10 L/100 km,32.05 mpg Imp.
34.03 mpg Imp.,35.76 mpg Imp.,12.32 km/L
8.13 km/L,27.35 MPG (AS),9.40 km/L
20.28 MPG (AS),5.80 L/100km,0.90 L/10km
9.40 liters per 100 km,0.88 L/10km,25.76 MPG (AS)
9.80 km per L,7.10 L/100 km,26.71 MPG (AS)
20.10 MPG (AS),31.74 mpg Imp.,10.44 liters per 100 km
15.00 liters per 100 km,7.52 km per L,1.42 L/10km
1.00 L/10km,8.60 L/100km,0.94 L/10km
11.80 L/100km,7.30 L/100 km,0.98 L/10km
,9.35 km per L,1.38 L/10km
18.52 km/L,6.70 L/100 km,16.71 km per L
1.65 L/10km,16.60 L/100km,16.55 L/100km
21.90 mpg Imp.,35.76 mpg Imp.,10.65 liters per 100 km
8.40 L/100 km,0.76 L/10km,35.13 mpg Imp.
1.56 L/10km,0.95 L/10km,
12.40 L/100 km,9.10 liters per 100 km,10.91 L/100km
6.02 km/L,14.43 MPG (AS),16.46 L/100km
16.81 mpg Imp.,15.60 liters per 100 km,6.15 km/L
1.05 L/10km,1.20 L/10km,11.18 liters per 100 km
32.47 mpg Imp.,6.90 L/100km,7.89 L/100km
0.72 L/10km,16.67 km per L,15.02 km/L
14.70 MPG (AS),0.78 L/10km,22.95 mpg Imp.
17.00 liters per 100 km,11.70 L/100 km,14.62 L/100 km
17.80 L/100 km,9.10 L/100km,13.88 liters per 100 km
18.83 mpg Imp.,9.17 km per L,17.88 MPG (AS)
9.60 L/100 km,37.66 mpg Imp.,11.55 km/L
33.23 mpg Imp.,36.19 MPG (AS),7.60 L/100km
18.67 MPG (AS),7.87 km/L,22.34 mpg Imp.
8.60 liters per 100 km,7.30 liters per 100 km,8.02 liters per 100 km
19.60 MPG (AS),7.40 L/100km,10.07 km/L
5.95 km per L,20.45 MPG (AS),6.94 km/L
8.77 km/L,10.87 km per L,27.14 mpg Imp.
20.30 L/100 km,5.62 km per L,
1.37 L/10km,16.60 L/100 km,15.01 L/100 km
1.10 L/10km,13.70 km per L,9.34 L/100km
17.44 mpg Imp.,13.70 km/L,12.20 liters per 100 km
9.60 L/100km,6.10 L/100 km,12.46 km/L
15.10 L/100km,,12.58 liters per 100 km
10.31 km/L,38.17 mpg Imp.,8.66 liters per 100 km
10.60 liters per 100 km,0.64 L/10km,27.01 MPG (AS)
12.90 liters per 100 km,26.14 MPG (AS),zero
9.35 km per L,7.40 L/100km,9.21 L/100 km
15.69 mpg Imp.,25.92 mpg Imp.,6.75 km/L
11.30 L/100km,16.95 km/L,8.87 liters per 100 km
10.31 km/L,28.00 MPG (AS),9.12 L/100 km
6.21 km per L,1.06 L/10km,13.62 L/100 km
1.53 L/10km,10.10 L/100 km,7.72 km/L
7.63 km/L,8.20 L/100 km,21.59 MPG (AS)
10.40 L/100km,29.12 mpg Imp.,1.01 L/10km
26.14 MPG (AS),11.11 km/L,0.90 L/10km
8.33 km/L,7.19 km per L,12.86 liters per 100 km
30.16 MPG (AS),0.56 L/10km,34.54 MPG (AS)
6.06 km/L,13.10 L/100km,6.68 km/L
17.12 mpg Imp.,12.30 L/100km,6.84 km/L
25.68 mpg Imp.,0.71 L/10km,30.56 mpg Imp.
11.40 L/100 km,11.36 km per L,1.02 L/10km
11.10 L/100 km,25.57 MPG (AS),1.02 L/10km
10.60 liters per 100 km,11.11 km/L,28.59 mpg Imp.
9.30 liters per 100 km,7.60 L/100km,11.72 km/L
9.01 km per L,,22.56 MPG (AS)
32.85 mpg Imp.,14.08 km per L,7.92 liters per 100 km
16.70 L/100km,8.85 km per L,1.43 L/10km
13.10 liters per 100 km,8.70 L/100km,11.12 L/100 km
20.50 L/100km,14.40 L/100km,15.91 mpg Imp.
11.90 km/L,29.73 mpg Imp.,11.24 km/L
23.74 mpg Imp.,27.35 MPG (AS),9.60 km/L
10.20 km/L,12.66 km per L,31.58 mpg Imp.
1.59 L/10km,9.40 liters per 100 km,1.30 L/10km
9.43 km per L,9.60 L/100km,27.83 mpg Imp.
12.66 km/L,6.80 liters per 100 km,7.41 L/100 km
9.20 liters per 100 km,34.59 MPG (AS),12.32 km/L
1.92 L/10km,21.08 mpg Imp.,16.59 L/100km
11.31 MPG (AS),24.14 mpg Imp.,16.91 mpg Imp.
12.30 liters per 100 km,31.74 mpg Imp.,10.77 L/100 km
16.70 L/100 km,27.97 mpg Imp.,7.28 km/L
,0.84 L/10km,9.39 km/L
1.13 L/10km,14.49 km per L,10.73 km/L
13.00 MPG (AS),13.51 km per L,7.53 km per L
10.90 L/100km,16.67 km per L,32.49 mpg Imp.
16.90 L/100 km,10.10 liters per 100 km,7.23 km per L
9.52 km per L,0.78 L/10km,10.77 km per L
12.50 liters per 100 km,0.65 L/10km,28.82 mpg Imp.
11.70 L/100 km,8.00 liters per 100 km,10.04 L/100 km
9.90 L/100 km,12.20 km per L,9.13 liters per 100 km
,6.30 L/100km,52.65 mpg Imp.
7.25 km per L,32.10 mpg Imp.,11.55 liters per 100 km
2.25 L/10km,13.20 L/100 km,18.32 L/100km
11.60 L/100km,7.90 liters per 100 km,
10.31 km/L,7.80 L/100 km,8.85 liters per 100 km
12.10 L/100km,15.30 L/100km,13.54 L/100 km
1.74 L/10km,9.09 km/L,19.45 mpg Imp.
12.06 MPG (AS),1.01 L/10km,15.27 L/100 km
,7.00 L/100km,31.08 mpg Imp.
1.05 L/10km,8.10 L/100 km,24.97 MPG (AS)
14.43 MPG (AS),15.61 mpg Imp.,5.84 km per L
38.17 mpg Imp.,7.00 liters per 100 km,0.72 L/10km
17.55 MPG (AS),8.60 liters per 100 km,8.90 km/L
4.67 km per L,11.30 L/100 km,5.93 km per L
22.40 MPG (AS),8.90 liters per 100 km,0.98 L/10km
not-available,1.08 L/10km,14.58 MPG (AS)
22.97 mpg Imp.,10.99 km per L,10.86 L/100 km
9.80 km per L,8.00 L/100 km,9.21 L/100 km
26.43 MPG (AS),44.14 mpg Imp.,12.86 km/L
9.00 L/100 km,13.16 km/L,8.37 liters per 100 km
1.26 L/10km,14.29 km/L,10.08 liters per 100 km
10.20 L/100 km,31.79 MPG (AS),8.94 L/100km
,18.38 MPG (AS),zero
12.05 km/L,8.10 L/100km,8.21 L/100km
1.34 L/10km,11.49 km per L,8.86 km per L
0.72 L/10km,17.24 km per L,35.80 MPG (AS)
0.94 L/10km,39.23 mpg Imp.,33.59 mpg Imp.
22.62 MPG (AS),13.70 km/L,11.10 km/L
9.62 km/L,47.88 mpg Imp.,11.94 km/L
3.56 km/L,25.92 mpg Imp.,4.91 km/L
16.80 MPG (AS),11.20 L/100km,12.74 L/100km
19.00 L/100km,15.60 L/100 km,13.46 MPG (AS)
11.80 L/100km,9.40 L/100km,10.72 liters per 100 km
7.20 L/100km,8.20 liters per 100 km,0.77 L/10km
8.93 km per L,11.36 km/L,9.88 km per L
13.30 L/100 km,12.40 L/100km,12.89 liters per 100 km
8.55 km/L,9.80 liters per 100 km,10.85 L/100km
11.30 L/100 km,8.90 L/100 km,10.22 L/100 km
5.60 L/100 km,6.10 L/100km,0.58 L/10km
27.35 MPG (AS),6.90 liters per 100 km,30.02 MPG (AS)
7.69 km per L,23.52 MPG (AS),zero
5.29 km per L,12.70 liters per 100 km,16.11 L/100 km
1.30 L/10km,12.30 L/100 km,7.88 km/L
1.81 L/10km,10.90 L/100km,6.73 km per L
22.00 L/100 km,9.90 liters per 100 km,17.06 mpg Imp.
28.53 mpg Imp.,14.49 km/L,0.86 L/10km
11.30 liters per 100 km,8.60 L/100 km,
6.80 km per L,10.87 km per L,1.22 L/10km
13.10 liters per 100 km,9.90 L/100km,11.66 L/100km
6.76 km per L,10.50 liters per 100 km,12.87 L/100 km
19.70 liters per 100 km,1.40 L/10km,17.14 L/100km
30.16 MPG (AS),5.50 liters per 100 km,0.68 L/10km
18.67 MPG (AS),9.90 liters per 100 km,1.14 L/10km
10.31 km per L,0.73 L/10km,8.62 liters per 100 km
12.40 L/100 km,7.00 L/100 km,9.97 L/100km
20.10 MPG (AS),7.50 L/100 km,9.81 L/100km
5.68 km/L,9.09 km/L,19.31 mpg Imp.
18.52 MPG (AS),8.80 liters per 100 km,9.14 km per L
11.11 km/L,10.99 km/L,9.04 L/100km
10.60 L/100km,7.70 L/100 km,9.29 L/100km
1.70 L/10km,11.80 L/100 km,6.82 km per L
15.60 L/100km,27.35 MPG (AS),12.45 L/100 km
,21.00 MPG (AS),7.25 km/L
22.24 mpg Imp.,9.30 liters per 100 km,1.12 L/10km
15.60 L/100 km,23.74 mpg Imp.,1.39 L/10km
4.40 L/100 km,12.35 km/L,zero
7.41 km per L,23.52 MPG (AS),11.93 L/100km
12.00 L/100km,30.16 MPG (AS),9.89 km per L
6.71 km per L,23.54 mpg Imp.,zero
5.70 liters per 100 km,5.00 L/100 km,5.38 liters per 100 km
10.31 km per L,32.10 mpg Imp.,10.76 km per L
10.50 L/100km,7.70 liters per 100 km,10.82 km per L
12.10 liters per 100 km,0.80 L/10km,27.55 mpg Imp.
9.52 km/L,14.08 km per L,11.15 km/L
14.50 L/100km,8.60 L/100km,19.86 MPG (AS)
15.18 MPG (AS),22.62 MPG (AS),1.32 L/10km
20.30 liters per 100 km,17.22 mpg Imp.,18.55 L/100 km
7.41 km/L,8.60 liters per 100 km,20.82 MPG (AS)
9.00 L/100km,0.71 L/10km,34.68 mpg Imp.
15.27 MPG (AS),24.78 mpg Imp.,13.60 L/100 km
10.90 L/100km,11.90 km/L,9.78 liters per 100 km
55.39 mpg Imp.,6.30 liters per 100 km,50.09 mpg Imp.
25.29 MPG (AS),14.29 km/L,12.10 km per L
10.30 L/100 km,8.90 L/100km,9.67 L/100km
zero,6.94 km per L,18.16 mpg Imp.
11.20 liters per 100 km,36.19 MPG (AS),9.09 liters per 100 km
25.45 mpg Imp.,30.05 mpg Imp.,10.34 L/100 km
1.24 L/10km,12.20 km/L,10.51 L/100 km
20.03 mpg Imp.,11.30 L/100 km,1.28 L/10km
19.30 L/100 km,22.60 mpg Imp.,1.62 L/10km
23.29 MPG (AS),7.00 L/100 km,27.02 MPG (AS)
23.52 MPG (AS),35.11 MPG (AS),11.74 km/L
9.90 liters per 100 km,0.80 L/10km,9.04 L/100 km
,19.22 mpg Imp.,16.71 mpg Imp.
0.47 L/10km,6.80 L/100 km,0.56 L/10km
27.67 MPG (AS),32.67 MPG (AS),0.79 L/10km
16.62 mpg Imp.,9.17 km per L,16.50 MPG (AS)
15.27 mpg Imp.,7.52 km per L,17.48 mpg Imp.
10.20 L/100km,31.79 MPG (AS),8.94 liters per 100 km
9.62 km per L,8.30 liters per 100 km,9.46 liters per 100 km
6.49 km per L,13.70 km per L,20.01 MPG (AS)
19.60 L/100km,27.16 mpg Imp.,18.27 mpg Imp.
10.50 liters per 100 km,23.29 MPG (AS),9.69 km/L
13.20 liters per 100 km,8.30 liters per 100 km,21.39 MPG (AS)
18.80 L/100km,10.90 liters per 100 km,1.52 L/10km
16.71 mpg Imp.,11.11 km per L,13.35 liters per 100 km
14.05 mpg Imp.,23.74 mpg Imp.,14.33 MPG (AS)
1.78 L/10km,1.17 L/10km,15.05 L/100 km
9.71 km/L,12.50 km per L,30.49 mpg Imp.
7.94 km per L,0.97 L/10km,20.82 MPG (AS)
14.00 liters per 100 km,9.52 km per L,8.05 km per L
11.30 L/100 km,8.20 liters per 100 km,9.90 L/100 km
1.45 L/10km,11.24 km per L,
16.45 MPG (AS),8.06 km/L,1.34 L/10km
10.64 km/L,14.71 km per L,8.23 L/100km
8.00 km/L,0.83 L/10km,1.06 L/10km
12.10 L/100 km,,10.44 L/100 km
1.02 L/10km,7.60 L/100km,11.07 km per L
0.55 L/10km,9.50 liters per 100 km,13.70 km per L
10.60 liters per 100 km,7.30 L/100km,0.91 L/10km
15.90 L/100 km,9.10 liters per 100 km,1.28 L/10km
9.90 km/L,0.92 L/10km,9.70 L/100 km
8.62 km/L,9.30 L/100 km,10.56 liters per 100 km
11.50 liters per 100 km,34.45 mpg Imp.,
31.36 MPG (AS),6.80 L/100km,39.32 mpg Imp.
10.10 km per L,27.97 mpg Imp.,10.01 km/L
14.79 mpg Imp.,11.00 L/100km,15.22 MPG (AS)
18.67 MPG (AS),0.74 L/10km,9.75 km per L
0.84 L/10km,6.90 liters per 100 km,30.45 MPG (AS)
11.40 L/100 km,7.20 liters per 100 km,10.52 km per L
6.62 km/L,12.60 L/100km,7.16 km per L
4.20 liters per 100 km,16.13 km per L,19.61 km per L
1.03 L/10km,11.49 km/L,10.44 km per L
5.75 km/L,9.40 L/100km,7.25 km/L
10.40 L/100 km,9.20 liters per 100 km,not-available
24.35 mpg Imp.,13.33 km per L,10.25 km/L
11.90 liters per 100 km,,1.03 L/10km
12.66 km/L,8.00 L/100 km,7.95 liters per 100 km
25.92 mpg Imp.,0.87 L/10km,10.09 km/L
0.98 L/10km,10.99 km/L,29.78 mpg Imp.
5.03 km per L,22.62 MPG (AS),18.08 mpg Imp.
27.97 mpg Imp.,0.78 L/10km,9.06 liters per 100 km
24.00 MPG (AS),34.09 MPG (AS),0.85 L/10km
,7.46 km/L,8.39 km/L
,0.92 L/10km,
7.20 L/100 km,0.67 L/10km,14.34 km/L
0.81 L/10km,32.67 MPG (AS),7.70 L/100 km
1.45 L/10km,27.43 mpg Imp.,12.61 L/100 km
13.08 mpg Imp.,19.28 MPG (AS),17.37 L/100km
11.00 L/100 km,18.97 MPG (AS),24.29 mpg Imp.
1.65 L/10km,10.60 L/100km,13.85 L/100km
9.71 km/L,0.78 L/10km,10.90 km/L
,37.34 MPG (AS),7.73 liters per 100 km
16.70 L/100km,24.50 MPG (AS),13.51 L/100 km
28.34 MPG (AS),12.99 km per L,35.18 mpg Imp.
9.52 km per L,7.00 liters per 100 km,26.35 MPG (AS)
29.73 mpg Imp.,11.76 km per L,9.05 L/100km
13.10 liters per 100 km,11.10 L/100 km,12.20 liters per 100 km
14.08 MPG (AS),10.90 L/100 km,7.10 km per L
26.16 mpg Imp.,31.79 MPG (AS),10.79 km/L
15.60 liters per 100 km,11.10 L/100 km,20.81 mpg Imp.
29.43 mpg Imp.,8.10 L/100km,11.20 km per L
7.19 km/L,20.10 MPG (AS),12.91 liters per 100 km
1.35 L/10km,25.57 MPG (AS),24.43 mpg Imp.
6.13 km per L,25.68 mpg Imp.,7.19 km/L
10.50 L/100 km,32.22 MPG (AS),31.18 mpg Imp.
6.17 km/L,10.20 L/100 km,7.41 km/L
51.36 mpg Imp.,0.65 L/10km,39.53 MPG (AS)
,25.92 mpg Imp.,9.27 km/L
20.92 mpg Imp.,8.10 L/100 km,11.07 L/100km
6.71 km/L,9.40 L/100km,1.24 L/10km
17.22 mpg Imp.,10.30 L/100km,20.69 mpg Imp.
43.56 MPG (AS),33.60 MPG (AS),6.12 liters per 100 km
9.30 L/100km,7.00 L/100km,34.18 mpg Imp.
9.40 liters per 100 km,33.13 MPG (AS),28.12 MPG (AS)
5.29 km/L,12.90 L/100km,16.20 L/100km
10.20 liters per 100 km,41.54 mpg Imp.,32.58 mpg Imp.
6.25 km per L,20.63 MPG (AS),7.18 km per L
1.27 L/10km,13.16 km/L,10.40 liters per 100 km
8.47 km per L,7.20 L/100km,9.73 L/100km
1.07 L/10km,11.50 liters per 100 km,9.04 km per L
21.78 MPG (AS),24.50 MPG (AS),10.26 L/100km
8.62 km per L,8.70 L/100km,27.44 mpg Imp.
10.70 liters per 100 km,13.70 km/L,10.91 km/L
7.60 L/100km,,7.38 liters per 100 km
4.70 L/100 km,20.63 MPG (AS),12.96 km per L
7.87 km per L,10.99 km per L,11.08 L/100km
1.61 L/10km,zero,13.01 MPG (AS)
12.60 liters per 100 km,8.80 L/100km,10.89 liters per 100 km
24.14 mpg Imp.,8.70 L/100 km,10.35 L/100 km
2.08 L/10km,1.64 L/10km,5.31 km per L
16.56 MPG (AS),8.20 L/100km,11.50 L/100 km
0.79 L/10km,13.51 km per L,36.81 mpg Imp.
23.06 MPG (AS),29.40 MPG (AS),0.92 L/10km
0.49 L/10km,,6.03 L/100 km
17.04 MPG (AS),9.80 km per L,1.22 L/10km
19.60 MPG (AS),8.40 L/100km,9.63 km per L
9.26 km/L,7.80 liters per 100 km,24.89 MPG (AS)
16.14 mpg Imp.,32.10 mpg Imp.,1.36 L/10km
not-available,9.60 L/100 km,10.21 L/100km
1.21 L/10km,10.20 L/100 km,11.24 L/100km
8.62 km/L,13.70 km/L,9.66 L/100 km
17.55 MPG (AS),8.70 liters per 100 km,11.29 L/100km
9.50 liters per 100 km,13.33 km per L,11.63 km per L
11.90 liters per 100 km,7.50 liters per 100 km,9.92 L/100km
10.20 km/L,31.79 MPG (AS),0.87 L/10km
9.10 liters per 100 km,12.99 km per L,11.81 km/L
9.62 km per L,12.66 km/L,9.28 L/100 km
12.40 L/100 km,25.00 mpg Imp.,19.76 MPG (AS)
22.20 L/100 km,8.47 km/L,17.52 L/100km
1.56 L/10km,9.71 km/L,21.38 mpg Imp.
10.60 L/100 km,,31.78 mpg Imp.
8.20 km per L,11.11 km/L,9.29 km per L
11.60 L/100km,0.90 L/10km,1.04 L/10km
16.00 L/100km,10.50 liters per 100 km,20.89 mpg Imp.
9.62 km per L,7.90 liters per 100 km,
13.70 km/L,14.71 km/L,33.25 MPG (AS)
,30.95 MPG (AS),27.89 mpg Imp.
16.39 km per L,5.90 L/100km,6.01 L/100 km
8.33 km/L,11.20 L/100km,24.27 mpg Imp.
7.09 km/L,0.67 L/10km,26.23 mpg Imp.
1.59 L/10km,21.00 MPG (AS),13.79 liters per 100 km
1.23 L/10km,9.30 liters per 100 km,9.13 km per L
18.82 MPG (AS),0.86 L/10km,1.07 L/10km
11.64 MPG (AS),16.40 L/100 km,1.85 L/10km
5.03 km/L,6.25 km per L,18.14 liters per 100 km
19.12 MPG (AS),11.63 km/L,
not-available,43.56 MPG (AS),40.70 mpg Imp.
zero,0.94 L/10km,1.26 L/10km
8.85 km per L,11.63 km/L,10.09 liters per 100 km
1.41 L/10km,10.50 liters per 100 km,1.25 L/10km
15.80 liters per 100 km,14.70 liters per 100 km,6.53 km/L
8.70 L/100 km,0.74 L/10km,28.99 MPG (AS)
10.30 L/100 km,28.00 MPG (AS),0.94 L/10km
0.50 L/10km,7.50 L/100 km,16.33 km per L
6.85 km/L,10.20 L/100km,7.92 km per L
,7.20 liters per 100 km,10.05 km/L
1.09 L/10km,0.61 L/10km,11.44 km per L
11.80 L/100 km,44.14 mpg Imp.,25.10 MPG (AS)
5.95 km per L,17.60 L/100 km,5.83 km per L
20.77 mpg Imp.,8.60 L/100km,11.35 L/100km
20.50 L/100km,11.90 L/100 km,14.14 MPG (AS)
16.62 mpg Imp.,9.43 km/L,14.12 liters per 100 km
1.20 L/10km,9.60 L/100 km,10.92 L/100 km
10.75 km per L,8.60 L/100km,31.44 mpg Imp.
29.73 mpg Imp.,10.00 km per L,9.72 L/100km
11.00 L/100 km,14.08 km per L,10.82 km/L
17.30 MPG (AS),8.26 km per L,7.74 km per L
16.81 mpg Imp.,22.19 MPG (AS),14.01 liters per 100 km
27.43 mpg Imp.,34.09 MPG (AS),11.40 km/L
1.05 L/10km,35.31 mpg Imp.,30.13 mpg Imp.
16.90 L/100km,,16.36 MPG (AS)
5.15 km/L,15.58 MPG (AS),17.46 liters per 100 km
10.99 km per L,32.22 MPG (AS),8.29 L/100km
8.62 km per L,11.90 km per L,10.16 L/100km
10.20 km per L,0.75 L/10km,11.41 km per L
9.40 L/100km,0.79 L/10km,8.72 liters per 100 km
10.99 km per L,7.00 L/100km,34.64 mpg Imp.
1.71 L/10km,6.62 km/L,16.20 L/100km
1.76 L/10km,9.26 km/L,19.43 mpg Imp.
0.63 L/10km,35.64 MPG (AS),6.43 L/100 km
14.00 L/100km,9.01 km per L,12.70 liters per 100 km
10.30 L/100 km,7.50 L/100km,11.06 km per L
17.20 L/100km,13.00 L/100km,15.31 L/100km
9.71 km/L,0.82 L/10km,0.94 L/10km
,8.40 liters per 100 km,9.84 km per L
13.10 L/100 km,9.43 km per L,1.20 L/10km
21.08 mpg Imp.,8.60 L/100 km,1.12 L/10km
22.97 mpg Imp.,9.35 km per L,8.64 km per L
11.40 L/100km,34.45 mpg Imp.,10.04 km/L
11.60 L/100km,14.29 km/L,24.68 MPG (AS)
10.30 liters per 100 km,11.76 km/L,29.77 mpg Imp.
16.05 mpg Imp.,20.63 MPG (AS),6.75 km/L
,6.80 L/100km,not-available
6.10 liters per 100 km,15.15 km per L,37.19 MPG (AS)
8.62 km/L,28.68 MPG (AS),10.07 liters per 100 km
12.30 L/100km,11.11 km/L,26.12 mpg Imp.
1.15 L/10km,8.40 liters per 100 km,10.11 L/100 km
,9.30 L/100 km,10.84 L/100km
11.20 liters per 100 km,25.29 MPG (AS),10.35 L/100km
4.60 liters per 100 km,14.71 km/L,17.89 km/L
21.24 mpg Imp.,9.50 liters per 100 km,8.63 km/L
54.32 mpg Imp.,1.45 L/10km,9.38 L/100km
10.10 L/100km,7.70 L/100km,9.02 L/100km
9.62 km/L,7.90 liters per 100 km,0.93 L/10km
10.90 liters per 100 km,41.54 mpg Imp.,9.05 L/100km
14.20 L/100 km,10.80 L/100km,12.67 L/100 km
17.02 mpg Imp.,14.30 L/100 km,15.56 liters per 100 km
8.62 km/L,9.10 L/100 km,10.47 L/100 km
19.20 L/100 km,14.60 L/100km,17.13 liters per 100 km
17.55 mpg Imp.,10.31 km per L,1.32 L/10km
25.29 MPG (AS),35.11 MPG (AS),34.75 mpg Imp.
8.77 km/L,12.05 km per L,10.01 L/100 km
13.20 L/100 km,7.94 km per L,12.93 L/100km
32.47 mpg Imp.,not-available,12.12 km per L
1.26 L/10km,28.34 MPG (AS),10.66 L/100 km
16.80 MPG (AS),12.20 km per L,20.65 MPG (AS)
22.40 MPG (AS),9.52 km/L,10.50 liters per 100 km
21.40 liters per 100 km,11.80 liters per 100 km,13.77 MPG (AS)
27.43 mpg Imp.,15.38 km/L,0.86 L/10km
12.60 L/100 km,8.50 L/100km,10.76 L/100km
21.30 L/100 km,0.99 L/10km,zero
1.79 L/10km,9.00 liters per 100 km,7.20 km/L
8.06 km/L,7.80 L/100 km,10.33 L/100km
zero,7.90 L/100 km,35.03 mpg Imp.
7.63 km/L,8.10 L/100km,10.85 liters per 100 km
11.20 L/100 km,0.61 L/10km,31.72 mpg Imp.
22.40 MPG (AS),15.15 km per L,0.87 L/10km
11.72 mpg Imp.,15.40 L/100km,20.18 L/100 km
18.30 liters per 100 km,8.93 km/L,15.11 L/100km
15.89 MPG (AS),9.90 km/L,22.27 mpg Imp.
0.93 L/10km,0.72 L/10km,33.81 mpg Imp.
12.50 km/L,39.79 mpg Imp.,30.97 MPG (AS)
18.30 L/100km,22.84 MPG (AS),14.70 liters per 100 km
7.69 km/L,36.69 mpg Imp.,9.42 km per L
25.00 mpg Imp.,0.76 L/10km,10.38 km per L
,21.40 mpg Imp.,17.53 mpg Imp.
9.62 km/L,7.60 L/100 km,10.94 km per L
8.90 L/100 km,,7.82 liters per 100 km
1.62 L/10km,26.65 mpg Imp.,13.68 liters per 100 km
10.10 liters per 100 km,,8.53 L/100 km
5.81 km/L,24.50 MPG (AS),1.38 L/10km
5.10 liters per 100 km,46.31 mpg Imp.,5.55 liters per 100 km
6.21 km per L,21.78 MPG (AS),13.71 L/100 km
9.90 km/L,5.60 liters per 100 km,8.07 L/100km
1.12 L/10km,35.76 mpg Imp.,not-available
8.20 km/L,9.00 liters per 100 km,9.29 km/L
13.60 MPG (AS),23.29 MPG (AS),14.06 liters per 100 km
10.70 liters per 100 km,8.90 L/100km,not-available
10.30 liters per 100 km,8.10 liters per 100 km,10.74 km/L
16.60 liters per 100 km,12.00 L/100km,14.53 L/100 km
1.72 L/10km,13.89 km/L,12.70 L/100 km
33.13 MPG (AS),36.19 MPG (AS),34.44 MPG (AS)
4.60 L/100 km,6.60 L/100 km,51.36 mpg Imp.
8.13 km per L,9.52 km per L,24.58 mpg Imp.
12.20 L/100km,zero,1.14 L/10km
9.52 km/L,1.00 L/10km,9.73 km per L
1.06 L/10km,6.30 L/100 km,27.15 MPG (AS)
0.89 L/10km,0.79 L/10km,8.45 liters per 100 km
21.58 MPG (AS),0.82 L/10km,10.33 km/L
,10.60 L/100km,1.42 L/10km
27.67 MPG (AS),43.46 mpg Imp.,7.60 L/100km
27.67 MPG (AS),15.15 km/L,13.08 km/L
10.42 km per L,11.49 km per L,9.20 liters per 100 km
21.78 MPG (AS),7.10 liters per 100 km,10.95 km/L
